"Page title","页面标题"
"IP address","IP地址"
"Duration","时长"
" Error","错误"
"Author","作者"
"new file:-------","新文件：---------"
"copied:---------","拷贝：-----------"
"deleted:--------","删除：-----------"
"modified:-------","修改：-----------"
"renamed:--------","重命名：---------"
"type changed:---","类型变更：-------"
"unmerged:-------","未合并：---------"
"unknown:--------","未知：-----------"
"error404_title","找不到页面"
