"Page title","Заголовок страницы"
"IP address","IP адрес"
"Duration","Длительность"
"Author","Автор"
"%s kB","%s Кб"
"%s MB","%s Мб"
"%s GB","%s ГБ"
"new file:-------","новый файл:-----"
"copied:---------","скопировано:----"
"deleted:--------","удалено:--------"
"modified:-------","изменено:-------"
"renamed:--------","переименовано:--"
"type changed:---","изменен тип:----"
"unmerged:-------","не слитые:------"
"unknown:--------","неизвестно:-----"
