"Page title","Sayfa başlığı"
"IP address","IP adresi"
"Duration","Süre"
"new file:-------","new file :-------"
"copied:---------","copied :---------"
"deleted:--------","deleted :--------"
"modified:-------","modified :-------"
"renamed:--------","renamed :--------"
"type changed:---","type changed :---"
"unmerged:-------","unmerged :-------"
"unknown:--------","unknown :--------"
"pairing broken:-","pairing broken:--"
