"Page title","Τίτλος Σελίδας"
"INCOMPLETE MODULE INSTALLATION","ΕΛΛΙΠΉΣ ΕΓΚΑΤΆΣΤΑΣΗ ΜΟΝΆΔΑΣ"
"IP address","Διεύθυνση IP"
"Duration","Διάρκεια"
" Error","Σφάλμα"
"Author","Συντάκτης"
"new file:-------","νέο αρχείο:------"
"copied:---------","αντιγραφή:-------"
"deleted:--------","διαγραφή:--------"
"modified:-------","τροποποίηση:-----"
"renamed:--------","μετονομασία:-----"
"type changed:---","αλλαγή τύπου:----"
"unmerged:-------","μη συγχωνευμένο:-"
"unknown:--------","άγνωστο:---------"
"pairing broken:-","pairing broken:--"
"error404_title","Η σελίδα δεν βρέθηκε"
